STRING ID,DESCRIPTION,ENGLISH,FRENCH / FRANÇAIS,SPANISH / ESPAÑOL,GERMAN / DEUTSCH,ITALIAN / ITALIANO,PORTUGUESE / PORTUGUÊS (BR),PORTUGUESE / PORTUGUÊS (PT),RUSSIAN / РУССКИЙ,GREEK / ΕΛΛΗΝΙΚΑ,TURKISH / TÜRKÇE,DANISH / DANSK,NORWEGIAN (NB) / NORSK BOKMÅL,SWEDISH / SVENSKA,DUTCH / NEDERLANDS,POLISH / POLSKI,FINNISH / SUOMI,JAPANESE / 日本語,SIMPLIFIED CHINESE / 简体中文,TRADITIONAL CHINESE / 繁体中文,KOREAN / 한국어,CZECH / ČEŠTINA,HUNGARIAN / MAGYAR,ROMANIAN / ROMÂNĂ,THAI / ภาษาไทย,BULGARIAN / БЪЛГАРСКИ,עברית / HEBREW,العربية / ARABIC,BOSNIAN
MODIFIER_FOUR_LIVES,,4 Lives,4 vies,4 Vidas,4 Leben,,,,,,,,,,,,,4ライフ,电池电量,,생명 4개,,,,,,,,
MODIFIER_FOUR_LIVES_HINT,,Making 4 mistakes depletes all your energy,"Au bout de 4 erreurs, vous perdez toute votre énergie.","Al cometer 4 errores, se agotará toda tu energía","Wenn du 4 Fehler machst, leert sich deine gesamte Energie.",,,,,,,,,,,,,4回ミスをすると、エネルギーをすべて使い果たします,你的容错率有限。,,실수를 4번 하면 에너지가 모두 소진됩니다,,,,,,,,
MODIFIER_NO_FAIL,,No Fail,Pas d'échecs,Sin Fallos,Kein Fehlschlag,,,,,,,,,,,,,失敗なし,不能失误,,실패 없음,,,,,,,,
MODIFIER_NO_FAIL_HINT,,Game doesn't fail even if you deplete all the energy,Le niveau ne se terminera pas si vous perdez toute votre énergie.,"El juego no falla, incluso si agotas toda tu energía","Das Spiel ist nicht fehlgeschlagen, auch wenn sich deine ganze Energie geleert hat.",,,,,,,,,,,,,すべてのエネルギーを使い果たしてもゲームは失敗にはなりません,勉强击中、漏过或者头撞到障碍都会消耗能量条。,,에너지를 모두 소진해도 게임을 실패하지는 않습니다,,,,,,,,
MODIFIER_NO_OBSTACLES,,No Walls,Pas de murs,Sin Muros,Keine Wände,,,,,,,,,,,,,壁なし,没有障碍,,벽 없음,,,,,,,,
MODIFIER_NO_OBSTACLES_HINT,,All walls are removed,Le niveau ne contiendra pas de murs.,Se eliminarán todos los muros,Alle Wände sind entfernt.,,,,,,,,,,,,,すべての壁が削除されます,关卡里不会出现障碍。,,모든 벽을 없앱니다,,,,,,,,
MODIFIER_DISAPPEARING_ARROWS,,Disappearing Arrows,Disparition des flèches,Flechas que Desaparecen,Verschwindende Pfeile,,,,,,,,,,,,,消える矢印,无形箭头,,사라지는 화살표,,,,,,,,
MODIFIER_DISAPPEARING_ARROWS_HINT,,Arrows on the notes disappear before they reach you,Les flèches disparaîtront des notes avant qu'elles n'arrivent à vous.,Las flechas de las notas desaparecerán antes de que lleguen a ti,"Die Pfeile an den Noten verschwinden, bevor sie dich erreichen.",,,,,,,,,,,,,音符が自分に到達する前に、音符の矢印が消えます,方块上的箭头在接近你时会消失。,,음표의 화살표는 플레이어에게 근접하기 전에 사라집니다,,,,,,,,
MODIFIER_FASTER_SONG,,Faster Song,Plus rapide,Canción más Rápida,Schneller Song,,,,,,,,,,,,,曲スピードアップ,节拍加快,,스피드 모드,,,,,,,,
MODIFIER_FASTER_SONG_HINT,,Song plays 20% faster,Le morceau sera accéléré de 20 %.,La canción se reproducirá 20 % más rápido,Der Song wird 20 % schneller abgespielt.,,,,,,,,,,,,,曲が20%スピードアップします。,歌曲播放速度更快。,,곡을 20% 빨리 재생합니다,,,,,,,,
MODIFIER_GHOST_NOTES,,Ghost Notes,Notes fantômes,Notas Fantasma,Gespensternoten,,,,,,,,,,,,,ゴースト音符,隐藏音符,,유령 음표,,,,,,,,
MODIFIER_GHOST_NOTES_HINT,,Notes are invisible and arrows disappear before they reach you,Les notes seront invisibles et les flèches disparaîtront avant qu'elles n'arrivent à vous.,Las notas son invisibles y las flechas desaparecerán antes de que lleguen a ti,"Die Noten sind unsichtbar, und die Pfeile verschwinden, bevor sie dich erreichen.",,,,,,,,,,,,,音符が見えなくなり、自分に到達する前に音符の矢印が消えます,方块隐形，且箭头在接近你时会消失。,,플레이어에게 근접하기 전에 화살표가 사라지며 음표가 안 보입니다,,,,,,,,
MODIFIER_ONE_LIFE,,1 Life,1 vie,1 Vida,1 Leben,,,,,,,,,,,,,1ライフ,瞬间判负,,생명 1개,,,,,,,,
MODIFIER_ONE_LIFE_HINT,,Every mistake depletes all your energy,Chaque erreur vous fait perdre toute votre énergie.,Cada error agotará toda tu energía,Jeder Fehler leert deine gesamte Energie.,,,,,,,,,,,,,1回のミスで、エネルギーをすべて使い果たします,每个失误都会导致通关失败。,,실수를 할 때마다 에너지가 모두 소진됩니다,,,,,,,,
MODIFIER_NO_ARROWS,,No Arrows,Pas de flèches,Sin Flechas,Keine Pfeile,,,,,,,,,,,,,矢印なし,没有箭头,,화살표 없음,,,,,,,,
MODIFIER_NO_ARROWS_HINT,,All the notes can be cut in any direction,Vous pouvez trancher les notes dans n'importe quelle direction.,Todas las notas se pueden cortar en cualquier dirección,Alle Noten können in beliebiger Richtung geschlagen werden.,,,,,,,,,,,,,音符はすべて、好きな方向にカットできます,你可以沿着任意方向来削砍方块。,,모든 음표는 아무 방향으로나 벨 수 있습니다,,,,,,,,
MODIFIER_NO_BOMBS,,No Bombs,Pas de bombes,Sin Bombas,Keine Bomben,,,,,,,,,,,,,爆弾なし,没有炸弹,,폭탄 없음,,,,,,,,
MODIFIER_NO_BOMBS_HINT,,All the bombs are removed from the level,Le niveau ne contiendra pas de bombes.,Todas las bombas serán eliminadas del nivel,Aus dem Level sind alle Bomben entfernt.,,,,,,,,,,,,,すべての爆弾がステージから削除されます,关卡里不会出现炸弹。,,레벨의 모든 폭탄을 없앱니다,,,,,,,,
MODIFIER_PRO_MODE,,Pro Mode,Mode pro,Modo Profesional,Profi-Modus,,,,,,,,,,,,,プロモード,专业模式,,프로 모드,,,,,,,,
MODIFIER_PRO_MODE_HINT,,Hit boxes match the notes precisely,Les zones de détection correspondent précisément aux notes.,Las cajas de impacto coinciden de manera precisa con las notas,Schlage Boxen und triff exakt die Noten.,,,,,,,,,,,,,ヒットボックスは音符と正確にマッチします,削砍方块没有误差范围。,,음표와 맞는 상자를 정확히 맞춥니다,,,,,,,,
MODIFIER_SLOWER_SONG,,Slower Song,Moins rapide,Canción más Lenta,Langsamerer Song,,,,,,,,,,,,,曲スピードダウン,节奏放慢,,슬로우 모드,,,,,,,,
MODIFIER_SLOWER_SONG_HINT,,Song plays 15% slower,Le morceau sera ralenti de 15 %.,La canción se reproducirá 15 % más lento,Der Song wird 15 % langsamer abgespielt.,,,,,,,,,,,,,曲が15%スピードダウンします。,歌曲播放速度更慢。,,곡을 15% 느리게 재생합니다,,,,,,,,
MODIFIER_STRICT_ANGLES,,Strict Angles,Angles précis,Ángulos Estrictos,Genaue Winkel,,,,,,,,,,,,,厳密な角度,严格角度,,엄격한 각도,,,,,,,,
MODIFIER_STRICT_ANGLES_HINT,,Tolerance between note arrow and cut direction for good note cut is reduced,Le seuil de tolérance de l'angle du coup par rapport à la direction de la flèche est réduit.,Se reducirá la tolerancia entre la flecha de la nota y la dirección de corte para obtener un buen corte de nota,Die Toleranz zwischen Notenpfeil und Schlagrichtung für guten Notenschlag ist reduziert.,,,,,,,,,,,,,"音符の良いカット評価について、音符の矢印と、カットの方向のずれの判定を厳しくします
",只有相当精确的削砍才算做精准。,,굿 컷을 위한 컷 방향과 음표 화살표 간 허용 오차가 줄어듭니다,,,,,,,,
MODIFIER_SUPER_FAST_NOTES,,Super Fast Notes,Notes super rapides,Notas Súper Rápidas,Superschnelle Noten,,,,,,,,,,,,,スーパー高速音符,超快音符,,초고속 음표,,,,,,,,
MODIFIER_SUPER_FAST_NOTES_HINT,,Notes move super fast,Les notes sont super rapides.,Las notas se moverán súper rápido,Die Noten bewegen sich superschnell.,,,,,,,,,,,,,音符がとても速く動きます,方块移动得超级快。,,음표가 아주 빠르게 움직입니다,,,,,,,,
MODIFIERS_TOTAL_MULTIPLIER,,Total Score,Score total,Puntuación total,Punkte insgesamt,,,,,,,,,,,,,トータルスコア,总系数,,총 점수,,,,,,,,
MODIFIERS_MAX_RANK_WITH_MODIFIERS,,Max Rank,Rang max.,Rango máximo,Max. Rang,,,,,,,,,,,,,最高ランク,当前模组使用者的最高排名,,최대 순위,,,,,,,,
STEAM_BOUGHT_CONTENT_INFO,,"If you bought this content, but don't see it here, please open Steam and check if it was properly downloaded.","Si vous avez déjà acheté ce contenu, mais ne le trouvez pas ici, veuillez ouvrir Steam et vérifier qu'il a bien été téléchargé.","Si compraste este contenido, pero no lo ves aquí, abre Steam y revisa si se descargó apropiadamente.","Falls du diesen Inhalt gekauft hast, du ihn hier aber nicht siehst, öffne bitte Steam und schau nach, ob er korrekt heruntergeladen wurde.",,,,,,,,,,,,,コンテンツを購入したらここで確認せずに、Steamを開いてきちんとダウンロードされたかを確認してください。,如果你购买本内容，但是没在此处看到，请检查确认Steam是否已正常下载。,,이 콘텐츠를 구매했으나 여기에서 볼 수 없다면 Steam을 열어 제대로 다운로드되었는지 확인해주십시오.,,,,,,,,
STATUS_DOWNLOADING,,Downloading,Téléchargement,Descargando,Download läuft,,,,,,,,,,,,,ダウンロード中,正在下载,,다운로드 중,,,,,,,,
STATUS_ERROR_GETTING_DATA,,Error getting data.,Erreur de récupération des données.,Error al obtener los datos.,Fehler beim Abrufen der Daten.,,,,,,,,,,,,,データ取得エラー,获取数据错误,,데이터를 가져오는 데 오류가 발생했습니다.,,,,,,,,
MENU_GRAPHICS,,Graphics,Graphismes,Gráficos,Grafik,,,,,,,,,,,,,グラフィック,图像,,그래픽,,,,,,,,
MENU_ADVANCED_GRAPHICS,,Advanced Graphics,Graphismes avancés,Gráficos Avanzados,Erweiterte Grafik,,,,,,,,,,,,,高度なグラフィック,高级图像,,고급 그래픽,,,,,,,,
MENU_ROOM_ADJUST,,Room Adjust,Réglage de l'espace,"Ajuste de Área
",Raumanpassung,,,,,,,,,,,,,ルーム,空间校准,,공간 조절,,,,,,,,
MENU_SMOOTH_CAMERA,,Smooth Camera,Bordure lisse,Cámara Suave,Ruckelfreie Kamera,,,,,,,,,,,,,カメラ,平滑摄像头,,부드러운 카메라,,,,,,,,
MENU_OTHERS,,Others,Autres,Otros,Weitere,,,,,,,,,,,,,その他,其他,,기타,,,,,,,,
SETTINGS_MIRROR_QUALITY,,Mirror Quality,Qualité des miroirs,Calidad de Espejo,Spiegelqualität,,,,,,,,,,,,,ミラークオリティ,镜面反射效果,,거울 품질,,,,,,,,
SETTINGS_SMOKE,,Smoke,Fumée,Humo,Rauch,,,,,,,,,,,,,スモーク,烟雾效果,,연기,,,,,,,,
SETTINGS_BLOOM_FOG_QUALITY,,Bloom Fog Quality,Qualité du flou lumineux,Calidad de Niebla Fluorescente,Bloom-Nebelqualität,,,,,,,,,,,,,ブルームフォグクオリティ,烟雾辉光效果,,블룸 안개 품질,,,,,,,,
SETTINGS_BLOOM_POST_PROCESS,,Bloom Post Process,Post-traitement du flou lumineux,Proceso Posterior de Fluorescencia,Bloom-Postprocessing,,,,,,,,,,,,,ブルームポストプロセス,辉光处理效果,,블룸 후처리,,,,,,,,
SETTINGS_ROOM_X_OFFSET,,X Offset,Décalage X,Inclinación X,X-Offset,,,,,,,,,,,,,Xオフセット,X 轴偏移量,,X 오프셋,,,,,,,,
SETTINGS_ROOM_Y_OFFSET,,Y Offset,Décalage Y,Inclinación Y,Y-Offset,,,,,,,,,,,,,Yオフセット,Y 轴偏移量,,Y 오프셋,,,,,,,,
SETTINGS_ROOM_Z_OFFSET,,Z Offset,Décalage Z,Inclinación Z,Z-Offset,,,,,,,,,,,,,Zオフセット,Z 轴偏移量,,Z 오프셋,,,,,,,,
SETTINGS_ROOM_ROTATION,,Rotation,Rotation,Rotación,Rotation,,,,,,,,,,,,,回転,旋转,,회전,,,,,,,,
SETTINGS_NON_VR_RESOLUTION,,Non VR Resolution,Résolution non RV,Resolución no de RV,Nicht-VR-Auflösung,,,,,,,,,,,,,非VR解像度,非 VR 分辨率,,비 VR 해상도,,,,,,,,
SETTINGS_FULLSCREEN,,Fullscreen,Plein écran,Pantalla completa,Vollbild,,,,,,,,,,,,,フルスクリーン,全屏,,전체화면,,,,,,,,
SETTINGS_RENDERING_SCALE,,Rendering Scale,Échelle de rendu,Escala de Renderización,Rendering-Maßstab,,,,,,,,,,,,,レンダリングスケール,渲染级别,,렌더링 스케일,,,,,,,,
SETTINGS_ANTIALIASING_MSAA,,Antialiasing (MSAA),Anticrénelage (MSAA),Antialiasing (MSAA),Antialiasing (MSAA),,,,,,,,,,,,,アンチエイリアシング（MSAA）,抗锯齿,,앤티앨리어싱,,,,,,,,
SETTINGS_VOLUME,,Volume,Volume,Volumen,Lautstärke,,,,,,,,,,,,,ボリューム,音量,,볼륨,,,,,,,,
SETTINGS_PAUSE_PRESS_DURATION,,Pause Press Duration,Durée de la pression pour pause,Duración de Presión para Pausar,Pausedrücken-Dauer,,,,,,,,,,,,,一時停止時間,长按暂停所需时长,,정지 누르기 기간,,,,,,,,
SETTINGS_SMOOTH_CAMERA,,Smooth Camera,Bordure lisse,Cámara Suave,Ruckelfreie Kamera,,,,,,,,,,,,,スムーズカメラ,平滑摄像头,,부드러운 카메라,,,,,,,,
SETTINGS_ONLINE_SERVICES,,Enable Online Services,Activer les services en ligne,Activar Servicios en Línea,Onlinedienste aktiveren,,,,,,,,,,,,,オンラインサービス有効化,,,온라인 서비스 사용,,,,,,,,
SETTINGS_SMOOTH_CAMERA_INFO,,"Enabling this feature will replace Beat Sabers desktop window with a smoothed, customised field of view, suitable for recording & streaming","Cette option permet d'habiller la fenêtre de bureau de Beat Saber d'un champ de vision lissé et personnalisé, adapté à l'enregistrement et à la diffusion en continu.","Al activar esta función, se reemplazará la ventana de escritorio de Beat Sabers con un cambio de visión suave y personalizado, adecuado para grabar y transmitir","Durch Aktivieren dieser Funktion wird das Desktopfenster von Beat Saber mit einem geglätteten, benutzerdefinierten Sichtfeld ersetzt, der für Aufnahmen und Streaming geeignet ist.",,,,,,,,,,,,,この機能を有効化するとBeat Saberデスクトップウィンドウを、録画やストリーミングに最適なスムーズでカスタマイズされた視野に置き換えます。,开启此功能会将《节奏空间》桌面窗口变成更平滑的定制视野，适合录制或直播,,이 기능을 사용하면 Beat Sabers 데스크톱 윈도를 대신하여 녹화나 스트리밍에 적합한 부드러운 커스텀 FOV로 대체합니다.,,,,,,,,
SETTINGS_SMOOTH_CAMERA_WARNING,,Smooth camera is expensive and can cause bad performance on some hardware configurations. ,L'option de Bordure lisse nécessite une grande puissance de calcul et peut causer des ralentissements sur certaines configurations. ,La cámara suave es costosa y puede causar un mal rendimiento en algunas configuraciones de hardware. ,Ruckelfreie Kamera ist teuer und kann bei einigen Hardware-Konfigurationen zu einer schlechten Performance führen. ,,,,,,,,,,,,,スムーズカメラは処理に負担をかけるため、特定のハードウェア設定ではパフォーマンス低下の原因となることがあります。 ,平滑摄像头很耗资源，在某些硬件配置下可能导致效果不佳。 ,,부드러운 카메라는 자원 소모가 크며 일부 하드웨어 구성에 부정적인 성능을 일으킬 수 있습니다.,,,,,,,,
SETTINGS_FIELD_OF_VIEW,,Field Of View,Champ de vision,Campo de Visión,Sichtfeld,,,,,,,,,,,,,視野,视野,,FOV(시야각),,,,,,,,
SETTINGS_SMOOTHNESS,,Smoothness,Lissage,Suavidad,Ruckelfreiheit,,,,,,,,,,,,,スムーズさ,平滑度,,부드러움,,,,,,,,
SETTINGS_ON,,On,On,Activar,Ein,,,,,,,,,,,,,オン,开,,켬,,,,,,,,
SETTINGS_OFF,,Off,Off,Desactivar,Aus,,,,,,,,,,,,,オフ,关,,끔,,,,,,,,
SETTINGS_LOW,,Low,Bas,Bajo,Niedrig,,,,,,,,,,,,,低,低,,낮음,,,,,,,,
SETTINGS_MEDIUM,,Medium,Moyenne,Media,Medium,,,,,,,,,,,,,中,,,보통,,,,,,,,
SETTINGS_HIGH,,High,Haut,Alto,Hoch,,,,,,,,,,,,,高,高,,높음,,,,,,,,
SETTINGS_INSTANT,,Instant,Immédiate,Instante,Sofort,,,,,,,,,,,,,瞬時,快速,,즉시,,,,,,,,
SETTINGS_LONG,,Long,Longue,Largo,Lang,,,,,,,,,,,,,長い,长期,,길게,,,,,,,,
SETTINGS_JOYSTICK_SCROLLING,,Enable Joystick Scrolling,Activer le défilement au stick,Activar desplazamiento con Joystick,Thumb-Stick-Scrolling aktivieren,,,,,,,,,,,,,ジョイスティックのスクロールを有効化,,,조이스틱 스크롤링 사용,,,,,,,,
DIFFICULTY_EASY,,Easy,Easy,Easy,Easy,,,,,,,,,,,,,Easy,简单,,Easy,,,,,,,,
DIFFICULTY_EASY_SHORT,,E,E,E,E,,,,,,,,,,,,,E,简单,,E,,,,,,,,
DIFFICULTY_NORMAL,,Normal,Normal,Normal,Normal,,,,,,,,,,,,,Normal,普通,,Normal,,,,,,,,
DIFFICULTY_NORMAL_SHORT,,N,N,N,N,,,,,,,,,,,,,N,普通,,N,,,,,,,,
DIFFICULTY_HARD,,Hard,Hard,Hard,Hard,,,,,,,,,,,,,Hard,困难,,Hard,,,,,,,,
DIFFICULTY_HARD_SHORT,,H,H,H,H,,,,,,,,,,,,,H,困难,,H,,,,,,,,
DIFFICULTY_EXPERT,,Expert,Expert,Expert,Expert,,,,,,,,,,,,,Expert,专家,,Expert,,,,,,,,
DIFFICULTY_EXPERT_SHORT,,X,X,X,X,,,,,,,,,,,,,X,专家,,X,,,,,,,,
DIFFICULTY_EXPERT_PLUS,,Expert+,Expert +,Expert+,Expert+,,,,,,,,,,,,,Expert+,专家+,,Expert+,,,,,,,,
DIFFICULTY_EXPERT_PLUS_SHORT,,X+,X+,X+,X+,,,,,,,,,,,,,X+,专家+,,X+,,,,,,,,
DIFFICULTY_UNKNOWN,,Unknown,Unknown,Unknown,Unkown,,,,,,,,,,,,,Unknown,未知,,Unknown,,,,,,,,
DIFFICULTY_UNKNOWN_SHORT,,/,/,/,/,,,,,,,,,,,,,/,/,,/,,,,,,,,
STAGE_LOCK_HINT,,To continue up you need to finish some levels before this barrier.,"Pour progresser, vous devez terminer certains niveaux présents avant cette barrière.","Para continuar, necesitas terminar algunos niveles antes de esta barrera.","Um fortzufahren, musst du vor dieser Barriere ein paar Level beenden.",,,,,,,,,,,,,続けてプレイするには、このバリアの手前のステージをクリアする必要があります。,在此关卡之前，你必须完成一些关卡才能继续。,,이상 계속하려면 이 장벽 전의 레벨을 완료해야 합니다.,,,,,,,,
CAMPAIGN_MISSION,,Mission,Mission,Misión,Mission,,,,,,,,,,,,,ミッション,任务,,미션,,,,,,,,
CAMPAIGN_SONG,,"Song
<color=#ffffff88>{0}</color>","Chanson
<color=#ffffff88>{0}</color>","Canción
<color=#ffffff88>{0}</color>","Song
<color=#ffffff88>{0}</color>",,,,,,,,,,,,,"曲
<color=#ffffff88>{0}</color>","歌曲
<color=#ffffff88>{0}</color>",,곡<color=#ffffff88>{0}</color>,,,,,,,,
CAMPAIGN_DIFFICULTY,,"Difficulty
<color=#ffffff88>{0}</color>","Difficulté
<color=#ffffff88>{0}</color>","Dificultad
<color=#ffffff88>{0}</color>","Schwierigkeitsgrad
<color=#ffffff88>{0}</color>",,,,,,,,,,,,,"難易度
<color=#ffffff88>{0}</color>","难度
<color=#ffffff88>{0}</color>",,"난이도
<color=#ffffff88>{0}</color>",,,,,,,,
CAMPAIGN_TYPE,,"Type
<color=#ffffff88>{0}</color>","Type
<color=#ffffff88>{0}</color>","Tipo
<color=#ffffff88>{0}</color>","Art
<color=#ffffff88>{0}</color>",,,,,,,,,,,,,"タイプ
<color=#ffffff88>{0}</color>","类型
<color=#ffffff88>{0}</color>",,"유형
<color=#ffffff88>{0}</color>",,,,,,,,
CAMPAIGN_MISSION_COMPLETE,,Mission Complete,Mission terminée,Misión Completada,Mission abgeschlossen,,,,,,,,,,,,,ミッション完了,任务完成,,미션 완료,,,,,,,,
CAMPAIGN_MISSION_FAILED,,Mission Failed,Mission échouée,Misión Fallida,Mission fehlgeschlagen,,,,,,,,,,,,,ミッション失敗,任务失败,,미션 실패,,,,,,,,
CAMPAIGN_MODIFIERS,,Modifiers,Modificateurs,Modificadores,Modifikatoren,,,,,,,,,,,,,ルール変更,模组使用者,,모디파이어,,,,,,,,
CAMPAIGN_OBJECTIVES,,Objectives,Objectifs,Objetivos,Ziele,,,,,,,,,,,,,目標,目标,,목표,,,,,,,,
CAMPAIGN_CHARACTERISTIC,,characteristic,caractéristiques,característica,charakteristisch,,,,,,,,,,,,,特徴,特征,,특징,,,,,,,,
CAMPAIGN_FINISH_LEVEL,,"Finish
Level","Terminer
le niveau","Finalizar
Nivel","Level
beenden",,,,,,,,,,,,,"ステージ
を完了","完成
关卡",,"레벨
완료하기",,,,,,,,
LEVEL_NO_ARROWS,,No Arrows,Pas de flèches,Sin Flechas,Keine Pfeile,,,,,,,,,,,,,矢印なし,没有箭头,,화살표 없음,,,,,,,,
LEVEL_NO_ARROWS_HINT,,No Arrows,Pas de flèches,Sin Flechas,Keine Pfeile,,,,,,,,,,,,,矢印なし,没有箭头,,화살표 없음,,,,,,,,
LEVEL_ONE_SABER,,One Saber,Un sabre,Un Sable,Ein Säbel,,,,,,,,,,,,,サーベル1本,一把光刃,,한손모드,,,,,,,,
LEVEL_ONE_SABER_HINT,,One Saber,Un sabre,Un Sable,Ein Säbel,,,,,,,,,,,,,サーベル1本,一把光刃,,세이버 하나로만 플레이합니다,,,,,,,,
LEVEL_STANDARD,,Standard,Standard,Estándar,Standard,,,,,,,,,,,,,標準,标准,,표준,,,,,,,,
LEVEL_STANDARD_HINT,,Standard,Standard,Estándar,Standard,,,,,,,,,,,,,標準,标准,,표준,,,,,,,,
PROMPT_INFORMATION,,Information,Informations,Información,Information,,,,,,,,,,,,,情報,信息,,정보,,,,,,,,
PROMPT_HAVENT_PLAYED_YET,,It looks like you haven't played Beat Saber yet. Would you like to play tutorial first?,Vous n'avez apparemment pas encore joué à Beat Saber. Voulez-vous commencer par le didacticiel ?,Parece que aún no has jugado Beat Saber. ¿Te gustaría jugar primero el tutorial?,Anscheinend hast du Beat Saber noch nicht gespielt. Möchtest du zunächst das Tutorial spielen?,,,,,,,,,,,,,Beat Saberを始めてプレイするようだね。チュートリアルを先にプレイするかい？,看起来你以前没玩过《节奏空间》。你要先玩玩教程吗？,,Beat Saber를 처음 플레이하시는 것 같습니다. 먼저 튜토리얼을 플레이하시겠습니까?,,,,,,,,
PROMPT_YES,,Yes,Oui,Sí,Ja,,,,,,,,,,,,,はい,是,,네,,,,,,,,
PROMPT_NO,,No,Non,No,Nein,,,,,,,,,,,,,いいえ,否,,아니요,,,,,,,,
RESULTS_LEVEL_FAILED,,Level Failed,Niveau échoué,Nivel fallido,Level fehlgeschlagen,,,,,,,,,,,,,ステージ失敗,通关失败,,레벨 실패,,,,,,,,
OBJECTIVE_BAD_CUTS,,Bad Cuts,Mauvais coups,Malos Cortes,Schlechte Schläge,,,,,,,,,,,,,悪いカット,勉强击中,,배드 컷,,,,,,,,
OBJECTIVE_COMBO,,Combo,Combo,Combo,Combo,,,,,,,,,,,,,Combo,连击,,Combo,,,,,,,,
OBJECTIVE_FULL_COMBO,,Full Combo,Combo total,Combo completo,Volle Combo,,,,,,,,,,,,,フルCombo,全连击,,풀 Combo,,,,,,,,
OBJECTIVE_HANDS_MOVEMENT,,Hands Movement,Mouvements des mains,Movimiento de Manos,Händebewegungen,,,,,,,,,,,,,手の動き,双手移动,,손 움직임,,,,,,,,
OBJECTIVE_MISS,,Miss,Miss,Miss,Miss,,,,,,,,,,,,,Miss,错失,,Miss,,,,,,,,
OBJECTIVE_SCORE,,Score,Score,Puntuación,Punkte,,,,,,,,,,,,,スコア,得分,,스코어,,,,,,,,
MISSION_NEW_OBJECTIVE_TITLE,,New Objective,Nouvel objectif,Nuevo Objetivo,Neues Ziel,,,,,,,,,,,,,新しい目標,新目标,,새 목표,,,,,,,,
MISSION_HELP_MIN_SCORE_TITLE,,In this mission your score must be higher than the specified minimum.,"Dans cette mission, votre score doit être supérieur au minimum indiqué.","En esta misión, tu puntuación debe ser mayor al mínimo especificado.",In dieser Mission müssen deine Punkte höher als das angegebene Minimum sein.,,,,,,,,,,,,,このミッションでは、決まった最少スコアよりも高いスコアを獲得する必要があります。,在此任务中，你的分数必须高于设定的最低值。,,이 미션에서는 정해진 최소 점수보다 높은 점수를 획득해야 합니다.,,,,,,,,
MISSION_HELP_MAX_BAD_CUTS_TITLE,,In this mission you can make only limited amount of mistakes (<color=#ffffff88>BAD CUTS</color> and <color=#ffffff88>MISSED</color> notes),"Dans cette mission, vous n'avez droit qu'à une certaine quantité d'erreurs (<color=#ffffff88>MAUVAIS COUPS</color> et notes <color=#ffffff88>RATÉES</color>)","En esta misión, solamente puedes cometer un número limitado de errores (<color=#ffffff88>MALOS CORTES</color> y notas <color=#ffffff88>FALLIDAS</color>)",In dieser Mission kannst du nur eine begrenzte Anzahl von Fehlern machen (<color=#ffffff88>SCHLECHTE SCHLÄGE</color> und <color=#ffffff88>VERFEHLTE</color> Noten),,,,,,,,,,,,,"このミッションでは、ミス（<color=#ffffff88>悪いカット</color>と<color=#ffffff88>ミス</color>した音符）の数に上限があります。
",在此任务中，你能犯错误的次数十分有限（<color=#ffffff88>勉强击中</color>和<color=#ffffff88>漏过</color>音符）,,이 미션에서는 정해진 횟수 이상 실수(<color=#ffffff88>배드 컷</color> 및 <color=#ffffff88>미스</color>)를 하면 안 됩니다,,,,,,,,
MISSION_HELP_MIN_COMBO_TITLE,,In this mission you must reach specified <color=#ffffff88>combo</color> number.,"Dans cette mission, vous devez atteindre le <color=#ffffff88>combo</color> spécifié.",En esta misión debes alcanzar un número específico de <color=#ffffff88>combos</color>.,In dieser Mission musst du die angegebene <color=#ffffff88>Combo</color>-Anzahl erreichen.,,,,,,,,,,,,,このミッションでは決まった<color=#ffffff88>combo</color>数に到達する必要があります。,在此任务中，你必须达到特定的<color=#ffffff88>连击</color>数量。,,이번 미션에서는 지정된 횟수의 <color=#ffffff88>Combo</color>를 수행해야 합니다.,,,,,,,,
MISSION_HELP_MIN_HANDS_MOVEMENT_TITLE,,In this mission your goal is to move your <color=#FFFFFF88>hands</color> enough to travel the <color=#FFFFFF88>specified MINIMUM distance.</color>,"Dans cette mission, vous devez bouger vos <color=#FFFFFF88>mains</color> de manière à couvrir la <color=#FFFFFF88>distance MINIMALE indiquée.</color>","En esta misión, tu meta es mover tus <color=#FFFFFF88>manos</color> lo suficiente para desplazarte la <color=#FFFFFF88>distancia MÍNIMA específica.</color>","In dieser Mission ist das Ziel, deine <color=#FFFFFF88>Hände</color> so sehr zu bewegen, dass sie die <color=#FFFFFF88>angegebene MINDESTdistanz</color> zurücklegen.",,,,,,,,,,,,,このミッションでは、<color=#FFFFFF88>手</color>を<color=#FFFFFF88>決まった最少距離</color>以上、動かすことをが目標です。,在此任务中，你的目标是让<color=#FFFFFF88>双手</color>的移动距离超过<color=#FFFFFF88>特定的最小距离。</color>,,이번 미션의 목표는 <color=#FFFFFF88>손</color>을 <color=#FFFFFF88>지정된 최소 거리</color> 이상 움직이는 것입니다.,,,,,,,,
